ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
17.965,-19.532,6.0883,19.285,-10.936,10.621,-4.3332,1.2825,0.15455,3031584,2021-05-02 14:22:27:786,Jogging
12.354,-13.743,6.0338,10.232,-4.2868,7.5332,-4.6539,-4.737,-0.10171,3031585,2021-05-02 14:22:27:787,Jogging
5.203,-3.8954,5.5435,2.7506,5.5445,6.5652,-3.4871,-5.5867,0.49236,3031586,2021-05-02 14:22:27:788,Jogging
-4.9442,6.3743,5.5162,-7.3094,15.891,5.5039,-1.9441,-4.3426,0.33292,3031587,2021-05-02 14:22:27:789,Jogging
-4.699,5.7614,5.8704,-6.6687,15.339,5.1194,0.8937,-1.3131,-1.0027,3031588,2021-05-02 14:22:27:790,Jogging
-0.28603,5.5707,7.927,-2.3434,14.952,5.9465,1.347,-1.1851,-1.1976,3031589,2021-05-02 14:22:27:791,Jogging
1.2122,6.5241,8.8124,-1.3429,14.221,3.2986,1.7831,-0.53115,-1.5424,3031590,2021-05-02 14:22:27:792,Jogging
1.8796,6.7693,9.8066,-0.94602,12.67,2.5016,2.7318,2.6512,-2.2776,3031591,2021-05-02 14:22:27:793,Jogging
-0.12258,3.8137,6.1019,-2.7483,8.5179,-2.0924,3.0204,4.0537,-1.992,3031592,2021-05-02 14:22:27:794,Jogging
-1.4438,-1.1032,-3.8546,-3.7112,4.3641,-11.674,2.2403,5.0348,-1.3146,3031593,2021-05-02 14:22:27:795,Jogging
-5.7069,-12.503,-12.354,-6.068,-3.3691,-15.904,1.1261,3.883,-0.18692,3031594,2021-05-02 14:22:27:796,Jogging
